Date,AAPL,AUTO.L,MU,NVDA,OCDO.L,SGE.L,TSM
2025-03-03,236.77891540527344,788.4804077148438,90.19247436523438,113.88990020751953,253.89999389648438,1284.6297607421875,169.7931671142578
2025-03-04,234.68994140625,780.28173828125,90.84993743896484,115.81702423095703,226.10000610351562,1257.1375732421875,176.69406127929688
2025-03-05,234.50096130371094,771.8829956054688,93.97789001464844,117.12506866455078,247.60000610351562,1255.13818359375,180.8954315185547
2025-03-06,234.09310913085938,775.282470703125,88.92735290527344,110.40510559082031,248.5,1221.14794921875,172.62026977539062
2025-03-07,237.81344604492188,782.2814331054688,92.60318756103516,112.52195739746094,251.5,1231.64501953125,173.84732055664062
2025-03-10,226.28436279296875,777.4821166992188,86.74575805664062,106.8204574584961,248.5,1219.1485595703125,167.5157470703125
2025-03-11,219.67926025390625,756.8851928710938,88.70819854736328,108.5978012084961,240.0,1194.655517578125,167.8299102783203
2025-03-12,215.83956909179688,758.2850341796875,95.27289581298828,115.57803344726562,230.3000030517578,1201.6536865234375,173.916015625
2025-03-13,208.5779266357422,751.885986328125,94.51581573486328,115.41825103759766,227.3000030517578,1195.155517578125,168.43850708007812
2025-03-14,212.36788940429688,762.88427734375,100.40312957763672,121.49972534179688,238.8000030517578,1198.1546630859375,170.89256286621094
2025-03-17,212.87521362304688,762.284423828125,102.71422576904297,119.36272430419922,238.89999389648438,1191.6566162109375,173.00311279296875
2025-03-18,211.5720977783203,753.0858154296875,101.3295669555664,115.26846313476562,258.70001220703125,1169.6629638671875,170.61239624023438
2025-03-19,214.1087188720703,753.0858154296875,101.66825866699219,117.35553741455078,262.6000061035156,1175.1612548828125,171.23321533203125
2025-03-20,212.97470092773438,754.0856323242188,102.60465240478516,118.36412048339844,265.0,1188.157470703125,174.88926696777344
2025-03-21,217.12277221679688,739.6878051757812,94.35643005371094,117.5352783203125,261.70001220703125,1188.6573486328125,174.16001892089844
2025-03-24,219.56985473632812,745.8869018554688,96.56791687011719,121.24009704589844,260.0,1200.154052734375,178.525634765625
2025-03-25,222.573974609375,756.2853393554688,93.8185043334961,120.5210952758789,249.8000030517578,1204.1529541015625,178.26937866210938
2025-03-26,220.36563110351562,743.4872436523438,91.7763671875,113.60079956054688,290.5,1209.6513671875,170.97698974609375
2025-03-27,222.67344665527344,741.887451171875,90.81009674072266,111.27405548095703,290.5,1204.6527099609375,165.79348754882812
2025-03-28,216.75473022460938,743.8871459960938,88.10054016113281,109.51651763916016,294.29998779296875,1212.150634765625,162.8469696044922
2025-03-31,220.9624786376953,744.087158203125,86.669189453125,108.22832489013672,281.3999938964844,1206.652099609375,163.5860595703125
2025-04-01,222.0169219970703,757.085205078125,88.48455810546875,109.99585723876953,279.6000061035156,1222.147705078125,166.1876678466797
2025-04-02,222.71324157714844,753.2857666015625,88.37483215332031,110.26546478271484,295.1000061035156,1229.6455078125,167.9122314453125
2025-04-03,202.12203979492188,769.2833251953125,74.15107727050781,101.65754699707031,298.0,1206.652099609375,155.0914306640625
2025-04-04,187.38987731933594,745.0870361328125,64.5555191040039,94.17801666259766,284.0,1188.6573486328125,144.66526794433594
2025-04-07,180.50625610351562,706.892822265625,68.19624328613281,97.50334930419922,269.3999938964844,1096.683837890625,144.04441833496094
2025-04-08,171.51376342773438,729.8892822265625,65.3734359741211,96.16523742675781,282.20001220703125,1134.6729736328125,139.31422424316406
2025-04-09,197.80484008789062,725.889892578125,77.67210388183594,114.17000579833984,272.3999938964844,1101.1826171875,156.4414825439453
2025-04-10,189.4191436767578,752.285888671875,69.87197875976562,107.4194564819336,282.5,1141.6708984375,148.93231201171875
2025-04-11,197.1085205078125,757.885009765625,69.37325286865234,110.77476501464844,287.70001220703125,1136.6722412109375,154.7957763671875
2025-04-14,201.45553588867188,772.6828002929688,70.83950805664062,110.55506896972656,303.79998779296875,1158.666015625,153.5738067626953
2025-04-15,201.07754516601562,793.0797119140625,70.8594741821289,112.04297637939453,314.20001220703125,1180.159912109375,155.0421600341797
2025-04-16,193.24893188476562,790.6801147460938,69.15381622314453,104.3437728881836,299.0,1174.661376953125,149.46446228027344
2025-04-17,195.94467163085938,798.2789916992188,68.62516021728516,101.34796905517578,298.0,1171.6622314453125,149.53341674804688
2025-04-21,192.14476013183594,798.2789916992188,66.57038879394531,96.7743911743164,298.0,1171.6622314453125,145.70985412597656
2025-04-22,198.69017028808594,802.0784301757812,70.03157043457031,98.75160217285156,287.8999938964844,1166.163818359375,149.19837951660156
2025-04-23,203.52462768554688,806.0777587890625,72.74466705322266,102.56625366210938,285.3999938964844,1187.65771484375,155.51516723632812
2025-04-24,207.27481079101562,814.8764038085938,77.2232437133789,106.28105163574219,282.20001220703125,1189.6571044921875,161.7925262451172
2025-04-25,208.18002319335938,813.4765625,79.57725524902344,110.85465240478516,275.3999938964844,1197.1549072265625,162.69915771484375
2025-04-28,209.03550720214844,810.4771118164062,78.3603515625,108.57784271240234,284.6000061035156,1205.6524658203125,161.02386474609375
2025-04-29,210.09988403320312,822.4752807617188,76.68462371826172,108.867431640625,283.5,1217.149169921875,162.08816528320312
2025-04-30,211.3831024169922,839.07275390625,76.75444030761719,108.76756286621094,281.29998779296875,1237.1434326171875,164.2660369873047
2025-05-01,212.1988067626953,849.671142578125,77.57235717773438,111.45381164550781,282.1000061035156,1244.641357421875,170.20834350585938
2025-05-02,204.27069091796875,862.4691772460938,80.5148696899414,114.33976745605469,274.20001220703125,1275.13232421875,176.67295837402344
2025-05-05,197.8446502685547,862.4691772460938,80.21562957763672,113.66072082519531,274.20001220703125,1275.13232421875,173.8348388671875
2025-05-06,197.46661376953125,861.4692993164062,80.30540466308594,113.38111114501953,263.5,1253.138671875,169.7747344970703
2025-05-07,195.21852111816406,864.8688354492188,82.41004943847656,116.89617919921875,257.70001220703125,1261.6363525390625,172.0018768310547
2025-05-08,196.45201110839844,864.4688720703125,84.93360137939453,117.20574951171875,261.0,1264.635498046875,172.6719970703125
2025-05-09,197.4865264892578,860.069580078125,85.64179992675781,116.48676300048828,262.6000061035156,1267.1346435546875,173.9530792236328
2025-05-12,209.95704650878906,850.2710571289062,92.05545806884766,122.82786560058594,263.79998779296875,1272.13330078125,184.26097106933594
2025-05-13,212.08860778808594,851.6708374023438,96.68367004394531,129.7481689453125,268.3999938964844,1288.128662109375,191.16903686523438
2025-05-14,211.490966796875,864.4688720703125,95.07776641845703,135.1505889892578,268.29998779296875,1279.1312255859375,191.92784118652344
2025-05-15,210.61444091796875,872.4676513671875,95.20743560791016,134.6413116455078,271.3999938964844,1230.1455078125,191.39569091796875
2025-05-16,210.42520141601562,878.4667358398438,97.75094604492188,135.21051025390625,271.29998779296875,1243.1416015625,191.39569091796875
2025-05-19,207.95501708984375,881.266357421875,98.39929962158203,135.3802947998047,271.3999938964844,1229.145751953125,190.68614196777344
2025-05-20,206.04258728027344,891.264892578125,97.85069274902344,134.19192504882812,280.0,1227.6461181640625,190.63690185546875
2025-05-21,201.2914276123047,891.264892578125,95.596435546875,131.61557006835938,277.1000061035156,1238.1431884765625,188.97146606445312
2025-05-22,200.56431579589844,897.4638671875,94.5890121459961,132.6441192626953,268.3999938964844,1246.6407470703125,193.33705139160156
2025-05-23,194.49838256835938,908.2622680664062,93.13272094726562,131.1062469482422,262.1000061035156,1237.1434326171875,189.18826293945312
2025-05-27,199.4188690185547,901.2633056640625,96.13506317138672,135.31036376953125,264.1000061035156,1248.64013671875,194.8053741455078
2025-05-28,199.62803649902344,899.863525390625,95.9355697631836,134.621337890625,260.20001220703125,1226.1466064453125,193.2877655029297
2025-05-29,199.15988159179688,798.4788818359375,96.55399322509766,138.9951934814453,261.29998779296875,1213.2239990234375,194.2830810546875
2025-05-30,200.05633544921875,793.8795776367188,94.2199478149414,134.94090270996094,263.20001220703125,1218.7227783203125,190.5087890625
2025-06-02,200.90298461914062,795.2794189453125,97.93048858642578,137.187744140625,253.10000610351562,1218.7227783203125,192.0066680908203
